date,UST_10YR,UIVE_SP500VALUEETF,VNQ_VANGREALEST,USFFR,EMB_USDEMRGBOND,LQD_CORPBOND,MUB_MUNIBOND,SHY_1-3USTR,USDJPY,USDGBP,VIG_VANGDIV,IVV_SP500,USDRMB,CRUDOIL,CFE_VIX,EEM_MSCIEMERGING,USDEUR,XLE_ENERGYSPDR,SP500_GSCI,EFA_MSCIEAFE,TIP_TIPSBOND,UST_2YR,USDOIS,CHNGDP,USGDP,EZGDP,US_UNEMP,CHNGDP_Shock,USGDP_Shock,EZGDP_Shock,US_UNEMP_Shock,VNQ_VOL,EMB_VOL,LQD_VOL,MUB_VOL,VIG_VOL,IVV_VOL,EEM_VOL,EFA_VOL,XLE_VOL,SHY_VOL,TIP_VOL
3/19/2015,1.9709,93.76,84.9,0.12,110.49,121.15,110.5,84.71,0.82785,1.47525,81.61,210.99,6.196,43.96,16.45,39.49,0.938086,76.31,392.022,25.01,113.42,0.6121,0.13,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,1.1386834503044008,0.6812855495284248,0.7761958515715174,0.38176861055256867,0.538358616543041,1.7587580845285575,0.7119901684730215,0.09628083921544187,1.1000590893199602,0.08384509526085672,0.9917812258768229
3/20/2015,1.9325,93.69,87.03,0.12,111.69,121.49,110.47,84.77,0.8331,1.4951,82.22,212.85,6.2052,45.72,15.45,40.08,0.924044,76.91,398.167,25.24,113.76,0.584,0.129,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,1.5755475238775793,0.9669436384796053,0.7380514887164544,0.3594838967231921,0.36955378499787905,1.3617892641276332,0.5933548685248138,0.14081903280461144,0.8993608841814236,0.08467585251580838,1.0119930829810762
3/23/2015,1.91,94.26,86.92,0.12,111.99,121.77,110.61,84.8,0.8351499,1.49525,81.72,212.5,6.214,46.95,15.75,40.2,0.913535,76.64,401.816,25.17,113.71,0.576,0.121,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,1.6022546614057462,0.974946152357198,0.6165062854475094,0.2956451792323755,0.3704456775375527,1.3712877159417618,0.4513867521338877,0.1477497884940103,0.8086099183139255,0.08080841539872097,0.8242390429974474
3/24/2015,1.8736,94.19,86.18,0.11,112.05,121.95,110.78,84.83,0.83505,1.48515,81.37,211.17,6.2051,47.03,15.55,40.36,0.915207,76.13,400.174,25.15,114.26,0.56,0.122,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,1.0335763155162814,0.6786162391190168,0.31285779516578427,0.12349089036611495,0.34136490740300585,0.809611017645115,0.3342902930117531,0.11366617790716338,0.5545538747459013,0.04827007353648831,0.3301060435695367
3/25/2015,1.9274,93.17,84.19,0.12,112.33,121.55,110.58,84.81,0.83685,1.48805,80.17,207.19,6.2121,48.61,15.7,39.72,0.911453,77.12,404.718,25.01,114.23,0.5844,0.122,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,1.255400334553195,0.7188880302216771,0.30285309969692237,0.12153188883341948,0.7633937385164526,2.2471982555826067,0.3570714214298338,0.10237187113666812,0.40947527397349537,0.04669047011135995,0.3611509379761641
3/26/2015,1.997,91.83,83.75,0.11,111.72,120.8,110.48,84.77,0.83895,1.485,80.01,206.68,6.2108,51.43,16.45,39.35,0.91878,77.03,413.396,24.88,113.62,0.5928,0.124,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,1.543803744002575,0.2628307440083088,0.4379726018783511,0.125419296774527,0.9701391652778477,2.9423409047720055,0.4062265377864097,0.14404860290896127,0.3987856567075974,0.0260768096056536,0.30468016016971716
3/27/2015,1.9604,91.83,83.86,0.12,111.91,121.28,110.59,84.82,0.83935,1.48775,80.26,207.1,6.215,48.87,16.2,39.46,0.918401,76.4,402.715,24.91,113.67,0.5768,0.12,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,1.4658615214257447,0.2224859546037773,0.45049972252613824,0.10848963085670642,0.7809801534007479,2.7019196879063427,0.4462286409476481,0.13334166640636147,0.41752844213979473,0.02302172884909225,0.31854356060208366
3/30/2015,1.9533,92.48,85.06,0.12,112.17,121.49,110.48,84.81,0.8328,1.48105,81.24,209.62,6.207,48.68,15.6,40.22,0.92302,78.04,402.404,25.13,113.33,0.577,0.13,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,1.018071706706725,0.23469128657866525,0.42027372032542515,0.12255610961276245,0.6423783931654463,1.953348407196353,0.4505774073363895,0.12320714265019467,0.7413029070466174,0.02280350848442899,0.4075168708177477
3/31/2015,1.9272,92.81,84.31,0.06,112.12,121.71,110.6,84.88,0.8324,1.4818,80.47,207.83,6.1995,47.6,15.73,40.13,0.93188,77.58,396.649,24.76,113.59,0.54,0.121,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,0.5157809612586433,0.23780243900336095,0.35189487065913805,0.060663003580459306,0.48233805573036953,1.1578557768121553,0.3895253521941825,0.13953494186055382,0.6163440597554563,0.0396232255021095,0.33033316515473904
4/1/2015,1.8595,92.52,84.19,0.12,112.29,121.73,110.42,84.88,0.835,1.4823,80.24,207.18,6.19845,50.09,17.65,40.63,0.929023,77.56,406.706,24.93,114.47,0.5383,0.121,164456.3,17047.098,2580.99,5.7,0.0,0.0,0.0,0.0,0.5157809612586433,0.22642879674623756,0.38323621957766885,0.07797435478020752,0.4738459665395066,1.1589305414464146,0.540249942158194,0.13367871932371525,0.6273117247396703,0.04764451698967232,0.4309060222381711
